Image_ID,Scene_Type,Objects_Detected,Text_Extracted,Confidence_Score
IMG_001,Fire and Smoke Scene,"fire, person",N/A,0.86
IMG_002,Fire Scene,fire,N/A,1.0
IMG_003,Fire Scene,fire,N/A,1.0
IMG_004,Fire Scene,fire,N/A,1.0
IMG_005,Fire Scene,fire,N/A,1.0
IMG_006,Fire and Smoke Scene,"fire, person",N/A,0.94
IMG_007,Fire and Smoke Scene,"fire, person",N/A,0.94
IMG_008,Fire and Smoke Scene,"fire, person",N/A,0.64
IMG_009,Fire Scene,fire,rn re af iddpiia,1.0
IMG_010,Fire Scene,fire,N/A,1.0
IMG_011,Fire Scene,fire,N/A,1.0
IMG_012,Fire Scene,fire,N/A,1.0
IMG_013,Fire Scene,fire,ALABAMA BANKHEAD HIGHWAY  anews Gat,1.0
