Report_ID,Incident_Type,Date,Location,Officer,Summary,Suspect_Description,Outcome
RPT_001,Training / Administrative,"May 26, 2015",Benton County,Chief Deputy R.L. Conner,Mine Resistant Ambush Protected vehicle acquired through 1033 Program,Unknown,Unknown
RPT_002,Training / Administrative,4/24/2015,Benton,Corporal Mike Calnan,A. This policy provides clear guidelines for the safe and effective deployment of the Benton Police Department’s Armored Rescue Vehicle (ARV). II. Policy A.,Unknown,Unknown
RPT_003,Training / Administrative,"July 2, 2014",Bryant,Chief Mark Kizer,"James the Bryant Police department sent 3 senior officers to MRAP training on July 2, 2014 after receiving our MRAP. The training class was put on by Smith Integrated and was a train the trainer class.",Unknown,Unknown
RPT_004,Training / Administrative,Unknown,Cabot,Unknown,"This policy is for internal use only and does not enlarge an employee’s civil liability in any way. The policy should not be construed as creating a higher duty of care, in an evidentiary sense, with respect to third party civil claims agai...",Unknown,Unknown
RPT_005,Training / Administrative,"May 29, 2015",Craighead County,Capt. Justin Rolland,"As of the 29"" day of May 2015, the Craighead County Sheriff's Office has implemented a policy of the operation and training of the MRAP vehicle obtained through the LESO/1033 program.",Unknown,Unknown
RPT_006,Training / Administrative,"January 27, 2015",Crawford,Chief Deputy,"Chief Deputy : Sheriff cae Captain Brandon Trent To: Program Manager , 1033 Program . . Law Enforcement Support Office (LESO) 11 June 2015 DLA Disposition Services 74 Washington Avenue North Battle Creek , MI 49037 Subj: Armored Vehicle (MR...",Unknown,Unknown
RPT_007,Training / Administrative,"January 19, 2015",Fort Smith,Cpl. Monty McMillen,"The following documentation is intended to document the intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Fort Smith Police Department, by the United States Government.",Unknown,Unknown
RPT_008,Training / Administrative,5/5/15,Hot Springs,Ofc. Eric Wacaster,MRAP Operations,Unknown,Unknown
RPT_009,Training / Administrative,05/21/2015,Independence County,Deputy Johnny Byler,MRAP Vehicle,Unknown,Unknown
RPT_010,Training / Administrative,"January 14, 2015",Jacksonville AR,Lt. Brett Hibbs,"The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Jacksonville AR Police Department, by the United States Government.",Unknown,Unknown
RPT_011,Training / Administrative,"January 13, 2015",The Jefferson,Unknown,The Jefferson County Sheriff’s Office obtained a Mine Resistant Ambush Protected (MRAP) Vehicle through the LESO 1033 Program. The Jefferson County Sheriff recognizes and appreciates the uniqueness of this vehicle.,Unknown,Unknown
RPT_012,Training / Administrative,04/26/2012,Little Rock,Sergeant Responsibilities,to the following restrictions,Unknown,Unknown
RPT_013,Training / Administrative,"December 17, 2014",Lonoke,Captain David Bufford,"The following documentation is intended to document to intended use and training of the Mine Resistant Ambush Protection Vehicle, which was allocated to the Lonoke County Sheriff’s office, by the United States Government.",Unknown,Unknown
RPT_014,Training / Administrative,"June 8, 2015",Pulaski County,Unknown,"As of 6/1/15, the Pulaski County Sheriff's Office (PCSO) has implemented a policy for the operation and training of the Mine-Resistant Ambush Protected (MRAP) vehicle obtained from the Law Enforcement Support Office (LESO).",Unknown,Unknown
RPT_015,Training / Administrative,July 2 2014,The Rogers,Unknown,"The Rogers Police Department intends to only allow personnel with appropriate training to use, operate, and maintain the MRAP assigned to the Rogers Police Department.",Unknown,Unknown
RPT_016,Training / Administrative,"June 1, 2015",The Union County,Unknown,Mine Resistant Ambush Protected (MRAP) Vehicle,Unknown,Unknown
