Timestamp,Frame_ID,Event_Detected,Objects,Confidence
00:00:00,FRM_000,Person running,1 motion region,0.92
00:00:00,FRM_012,No activity,none detected,0.3
00:00:01,FRM_024,Person collapsing,1 motion region,0.58
00:00:01,FRM_036,Person collapsing,1 motion region,0.59
00:00:02,FRM_048,No activity,none detected,0.3
00:00:02,FRM_060,No activity,none detected,0.3
00:00:03,FRM_072,No activity,none detected,0.3
00:00:03,FRM_084,Person collapsing,1 motion region,0.54
00:00:04,FRM_096,Person collapsing,1 motion region,0.54
00:00:04,FRM_108,Person collapsing,1 motion region,0.56
00:00:05,FRM_120,Person collapsing,1 motion region,0.53
00:00:05,FRM_132,Person standing,1 motion region,0.51
00:00:06,FRM_144,Person collapsing,1 motion region,0.57
00:00:06,FRM_156,Person collapsing,1 motion region,0.54
00:00:07,FRM_168,Person collapsing,2 motion regions,0.54
00:00:07,FRM_180,Person collapsing,2 motion regions,0.54
00:00:08,FRM_192,Multiple persons present,2 motion regions,0.57
00:00:08,FRM_204,Multiple persons present,2 motion regions,0.56
00:00:09,FRM_216,No activity,none detected,0.3
00:00:09,FRM_228,No activity,none detected,0.3
00:00:10,FRM_240,Person collapsing,1 motion region,0.54
00:00:10,FRM_252,Person standing,1 motion region,0.51
00:00:11,FRM_264,Person standing,1 motion region,0.51
00:00:11,FRM_276,No activity,none detected,0.3
00:00:12,FRM_288,No activity,none detected,0.3
00:00:12,FRM_300,No activity,none detected,0.3
00:00:12,FRM_312,Person standing,1 motion region,0.51
00:00:13,FRM_324,Person standing,1 motion region,0.51
00:00:13,FRM_336,No activity,none detected,0.3
00:00:14,FRM_348,No activity,none detected,0.3
00:00:14,FRM_360,Person standing,1 motion region,0.51
00:00:15,FRM_372,Person standing,1 motion region,0.51
00:00:15,FRM_384,No activity,none detected,0.3
00:00:16,FRM_396,No activity,none detected,0.3
00:00:16,FRM_408,No activity,none detected,0.3
00:00:17,FRM_420,No activity,none detected,0.3
00:00:17,FRM_432,No activity,none detected,0.3
00:00:18,FRM_444,No activity,none detected,0.3
00:00:18,FRM_456,No activity,none detected,0.3
00:00:19,FRM_468,No activity,none detected,0.3
00:00:19,FRM_480,No activity,none detected,0.3
00:00:20,FRM_492,No activity,none detected,0.3
00:00:20,FRM_504,Person standing,1 motion region,0.51
00:00:21,FRM_516,Person standing,1 motion region,0.51
00:00:21,FRM_528,Person standing,1 motion region,0.51
00:00:22,FRM_540,Person collapsing,1 motion region,0.56
00:00:22,FRM_552,Person standing,1 motion region,0.51
00:00:23,FRM_564,Person collapsing,1 motion region,0.53
00:00:23,FRM_576,Person collapsing,1 motion region,0.57
00:00:24,FRM_588,Person collapsing,1 motion region,0.57
00:00:24,FRM_600,No activity,none detected,0.3
00:00:24,FRM_612,Person standing,1 motion region,0.51
00:00:25,FRM_624,Person standing,1 motion region,0.51
00:00:25,FRM_636,Person standing,1 motion region,0.51
00:00:26,FRM_648,Person collapsing,1 motion region,0.52
00:00:26,FRM_660,Person collapsing,1 motion region,0.58
00:00:27,FRM_672,Person collapsing,1 motion region,0.55
00:00:27,FRM_684,Person collapsing,1 motion region,0.54
00:00:28,FRM_696,Person collapsing,1 motion region,0.54
00:00:28,FRM_708,No activity,none detected,0.3
00:00:29,FRM_720,No activity,none detected,0.3
00:00:29,FRM_732,Person standing,1 motion region,0.51
00:00:30,FRM_744,Person collapsing,1 motion region,0.6
00:00:30,FRM_756,Person collapsing,1 motion region,0.6
00:00:31,FRM_768,Person collapsing,1 motion region,0.59
00:00:31,FRM_780,Person collapsing,1 motion region,0.53
00:00:32,FRM_792,Person standing,1 motion region,0.51
00:00:32,FRM_804,No activity,none detected,0.3
00:00:33,FRM_816,No activity,none detected,0.3
00:00:33,FRM_828,No activity,none detected,0.3
00:00:34,FRM_840,No activity,none detected,0.3
00:00:34,FRM_852,No activity,none detected,0.3
00:00:35,FRM_864,No activity,none detected,0.3
00:00:35,FRM_876,No activity,none detected,0.3
00:00:36,FRM_888,No activity,none detected,0.3
00:00:36,FRM_900,No activity,none detected,0.3
00:00:36,FRM_912,No activity,none detected,0.3
00:00:37,FRM_924,No activity,none detected,0.3
00:00:37,FRM_936,No activity,none detected,0.3
00:00:38,FRM_948,No activity,none detected,0.3
